experiment_name,dataset,model,activation,test_loss,test_accuracy,test_top5_accuracy,test_precision,test_recall,training_time,total_params,trainable_params
cifar10_vgg11_gelu,cifar10,vgg11,gelu,1.6282049417495728,0.8429999947547913,0.9883000254631042,0.8448725938796997,0.8420000076293945,636.8104856014252,28187786,28165898
cifar10_vgg13_relu,cifar10,vgg13,relu,0.8929012417793274,0.8610000014305115,0.9922000169754028,0.8641118407249451,0.8590999841690063,528.3595447540283,28373066,28350794
cifar10_vgg13_sigmoid,cifar10,vgg13,sigmoid,1.5423678159713743,0.7822999954223633,0.982200026512146,0.7870473265647888,0.7802000045776367,755.0824480056763,28373066,28350794
cifar10_vgg13_tanh,cifar10,vgg13,tanh,1.843638300895691,0.8112999796867371,0.9865000247955322,0.8127570152282715,0.8104000091552734,755.5392272472382,28373066,28350794
cifar10_vgg13_swish,cifar10,vgg13,swish,1.4490069150924685,0.863099992275238,0.9914000034332277,0.8642284274101257,0.862500011920929,824.1376285552979,28373066,28350794
cifar10_vgg13_gelu,cifar10,vgg13,gelu,1.2517188787460327,0.8585000038146973,0.9919999837875366,0.8613343834877014,0.857200026512146,742.380163192749,28373066,28350794
cifar10_vgg16_relu,cifar10,vgg16,relu,1.4273508787155151,0.8082000017166138,0.98089998960495,0.8115373253822327,0.8061000108718872,920.1487500667572,33687882,33663050
cifar10_vgg16_sigmoid,cifar10,vgg16,sigmoid,1.270584225654602,0.7357000112533569,0.9783999919891356,0.747235894203186,0.7299000024795532,966.3027579784392,33687882,33663050
cifar10_vgg16_tanh,cifar10,vgg16,tanh,1.9985198974609373,0.7932999730110168,0.983299970626831,0.7951988577842712,0.791700005531311,977.3320307731628,33687882,33663050
cifar10_vgg16_swish,cifar10,vgg16,swish,1.4224083423614502,0.8422999978065491,0.9871000051498412,0.8443173766136169,0.84170001745224,1472.8826174736023,33687882,33663050
cifar10_vgg16_gelu,cifar10,vgg16,gelu,1.5770467519760132,0.8349999785423279,0.9847000241279602,0.8373657464981079,0.8341000080108643,1181.3551251888275,33687882,33663050
cifar10_vgg19_relu,cifar10,vgg19,relu,0.8744868040084839,0.7681999802589417,0.9789999723434448,0.7947961688041687,0.7544999718666077,1242.240526676178,39002698,38975306
cifar10_vgg19_sigmoid,cifar10,vgg19,sigmoid,2.401005744934082,0.1000000014901161,0.5,0.0,0.0,345.6453335285187,39002698,38975306
cifar10_vgg19_tanh,cifar10,vgg19,tanh,3.0139009952545166,0.4090999960899353,0.6320000290870667,0.6107114553451538,0.3055999875068664,711.066269159317,39002698,38975306
cifar10_vgg19_swish,cifar10,vgg19,swish,1.2263273000717163,0.5799000263214111,0.9491999745368958,0.7218194007873535,0.4379999935626983,1387.7316358089447,39002698,38975306
cifar10_vgg19_gelu,cifar10,vgg19,gelu,0.9017000794410706,0.8148999810218811,0.9830999970436096,0.8253337144851685,0.8098999857902527,1351.226007461548,39002698,38975306
cifar10_resnet18v2_relu,cifar10,resnet18v2,relu,1.7796319723129272,0.7750999927520752,0.9800999760627748,0.7788752317428589,0.7728000283241272,775.3227260112762,11192458,11184650
cifar10_resnet18v2_sigmoid,cifar10,resnet18v2,sigmoid,1.1474120616912842,0.737500011920929,0.9764000177383424,0.7531592845916748,0.7271000146865845,525.1684184074402,11192458,11184650
cifar10_resnet18v2_tanh,cifar10,resnet18v2,tanh,1.6327980756759644,0.7627000212669373,0.9779000282287598,0.7678247094154358,0.7602999806404114,595.2306554317474,11192458,11184650
cifar10_resnet18v2_swish,cifar10,resnet18v2,swish,1.341069221496582,0.7799000144004822,0.9822999835014344,0.7863871455192566,0.7764000296592712,373.8380706310272,11192458,11184650
cifar10_resnet18v2_gelu,cifar10,resnet18v2,gelu,1.800991773605347,0.7677000164985657,0.9760000109672546,0.7714544534683228,0.7659000158309937,440.4265565872192,11192458,11184650
cifar10_resnet50v2_relu,cifar10,resnet50v2,relu,1.8896636962890625,0.7663000226020813,0.9779000282287598,0.7696256041526794,0.7646999955177307,829.1856427192688,23592842,23547402
cifar10_resnet50v2_sigmoid,cifar10,resnet50v2,sigmoid,1.409999132156372,0.7817000150680542,0.9789999723434448,0.7869780659675598,0.7784000039100647,1037.1622998714447,23592842,23547402
cifar10_resnet50v2_tanh,cifar10,resnet50v2,tanh,1.9039266109466555,0.7735999822616577,0.9804999828338624,0.7777889966964722,0.7717999815940857,832.2695021629333,23592842,23547402
cifar10_resnet50v2_swish,cifar10,resnet50v2,swish,2.256624460220337,0.7684000134468079,0.9778000116348267,0.7706071734428406,0.7666000127792358,1106.9725484848022,23592842,23547402
cifar10_resnet50v2_gelu,cifar10,resnet50v2,gelu,1.642103910446167,0.7712000012397766,0.9789000153541565,0.7756707668304443,0.7689999938011169,643.746942281723,23592842,23547402
cifar10_resnet34v2_relu,cifar10,resnet34v2,relu,1.862121820449829,0.7736999988555908,0.9782999753952026,0.776168942451477,0.7718999981880188,966.4620885848999,21311754,21296522
cifar10_resnet34v2_sigmoid,cifar10,resnet34v2,sigmoid,6.524618148803711,0.16930000483989716,0.5,0.21800865232944489,0.125900000333786,386.20255064964294,21311754,21296522
cifar10_resnet34v2_tanh,cifar10,resnet34v2,tanh,2.057600736618042,0.7541999816894531,0.9732000231742859,0.7589547038078308,0.7522000074386597,966.725795507431,21311754,21296522
cifar10_resnet34v2_swish,cifar10,resnet34v2,swish,1.821911334991455,0.7850000262260437,0.978600025177002,0.7895797491073608,0.7835000157356262,994.6602313518524,21311754,21296522
cifar10_resnet34v2_gelu,cifar10,resnet34v2,gelu,1.9520334005355835,0.7789999842643738,0.9796000123023987,0.7820667624473572,0.777999997138977,780.432695388794,21311754,21296522
