experiment_name,dataset,model,activation,test_loss,test_compile_metrics,training_time,total_params,trainable_params
cifar100_resnet50v2_relu,cifar100,resnet50v2,relu,3.5180411338806152,0.46129998564720154,321.8703508377075,23777252,23731812
cifar100_resnet50v2_sigmoid,cifar100,resnet50v2,sigmoid,3.0641679763793945,0.4805000126361847,325.0339925289154,23777252,23731812
cifar100_resnet50v2_tanh,cifar100,resnet50v2,tanh,3.4753143787384033,0.47870001196861267,270.46183705329895,23777252,23731812
cifar100_resnet50v2_swish,cifar100,resnet50v2,swish,4.078686714172363,0.4596000015735626,336.5092945098877,23777252,23731812
cifar100_resnet50v2_gelu,cifar100,resnet50v2,gelu,3.4687628746032715,0.4684999883174896,239.09715580940247,23777252,23731812
cifar100_resnet34v2_relu,cifar100,resnet34v2,relu,3.970930814743042,0.44119998812675476,212.12627577781677,21357924,21342692
cifar100_resnet34v2_sigmoid,cifar100,resnet34v2,sigmoid,2.73130202293396,0.34139999747276306,280.44256687164307,21357924,21342692
cifar100_resnet34v2_tanh,cifar100,resnet34v2,tanh,2.7988803386688232,0.40310001373291016,168.8288390636444,21357924,21342692
cifar100_resnet34v2_swish,cifar100,resnet34v2,swish,3.345437526702881,0.47920000553131104,174.06605005264282,21357924,21342692
cifar100_resnet34v2_gelu,cifar100,resnet34v2,gelu,3.5317223072052,0.46380001306533813,182.27790474891663,21357924,21342692
